Country Name,Country Code,Time,Time Code,"Net bilateral aid flows from DAC donors, United States (current US$) [DC.DAC.USAL.CD]",Net official aid received (constant 2013 US$) [DT.ODA.OATL.KD],"Foreign direct investment, net inflows (% of GDP) [BX.KLT.DINV.WD.GD.ZS]","Net bilateral aid flows from DAC donors, Total (current US$) [DC.DAC.TOTL.CD]",Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS],Agricultural land (sq. km) [AG.LND.AGRI.K2],Battle-related deaths (number of people) [VC.BTL.DETH]
Albania,ALB,2004,YR2004,40310000,..,4.66563777104854,216400000,1.38115868415271,11220,..
Albania,ALB,2005,YR2005,36030000,..,3.21722676124585,257920000,1.35000545455818,10770,..
Albania,ALB,2006,YR2006,40580000,..,3.61560378125539,265710000,1.56776946295716,11200,..
Albania,ALB,2007,YR2007,32120000,..,6.0954572335317,256520000,1.82076528014737,11190,..
Albania,ALB,2008,YR2008,35890000,..,9.63387059274823,329300000,1.98486885667765,11810,..
Albania,ALB,2009,YR2009,33000000,..,11.1513401555245,316180000,1.51721713952654,12013,..
Albania,ALB,2010,YR2010,28400000,..,9.13407089560105,301140000,1.55859189306875,12013,..
Algeria,DZA,1960,YR1960,1000000,..,..,355100000,..,..,..
Algeria,DZA,1961,YR1961,2000000,..,..,437900000,..,454710,..
Algeria,DZA,1962,YR1962,38000000,..,..,396310000,..,449000,..
Algeria,DZA,1963,YR1963,39000000,..,..,283470000,..,445100,..
Algeria,DZA,1964,YR1964,43000000,..,..,228130000,..,441640,..
Algeria,DZA,1965,YR1965,7360000,..,..,144230000,..,441670,..
Algeria,DZA,1966,YR1966,27140000,..,..,129140000,..,441670,..
Algeria,DZA,1967,YR1967,11180000,..,..,109860000,..,442510,..
Algeria,DZA,1968,YR1968,180000,..,..,115480000,..,442030,..
Algeria,DZA,1969,YR1969,2000000,..,..,115940000,..,442030,..
Algeria,DZA,1970,YR1970,..,..,1.64737750521208,112860000,..,442160,..
Algeria,DZA,1971,YR1971,-1000000,..,0.0118174852620476,110390000,..,454330,..
Algeria,DZA,1972,YR1972,-1000000,..,0.613595239793593,98570000,..,453960,..
Algeria,DZA,1973,YR1973,-1000000,..,0.585190807640468,94290000,..,443040,..
Algeria,DZA,1974,YR1974,-1000000,..,2.71012685312182,111370000,..,443360,..
Algeria,DZA,1975,YR1975,-1000000,..,0.764883026133901,106890000,..,437530,..
Algeria,DZA,1976,YR1976,-1000000,..,1.05480779109489,128820000,..,440210,..
Algeria,DZA,1977,YR1977,-1000000,..,0.850913068094435,112730000,..,438320,..
Algeria,DZA,1978,YR1978,-1000000,..,0.512629539473583,119470000,..,438430,..
Algeria,DZA,1979,YR1979,-1000000,..,0.0772859260541875,97660000,..,438200,..
Algeria,DZA,1980,YR1980,-1000000,..,0.823395355219155,118280000,..,438300,..
Algeria,DZA,1981,YR1981,-1000000,..,0.0297805078448346,151130000,..,391710,..
Algeria,DZA,1982,YR1982,-1000000,..,-0.118497323896904,131690000,..,391070,..
Algeria,DZA,1983,YR1983,-1000000,..,0.000855797990538971,88520000,..,392820,..
Algeria,DZA,1984,YR1984,-1000000,..,0.00149477575290552,115000000,..,396100,..
Algeria,DZA,1985,YR1985,..,..,0.000686577385012452,148940000,..,390510,..
Algeria,DZA,1986,YR1986,..,..,0.00834668321309074,122630000,..,386880,..
Algeria,DZA,1987,YR1987,..,..,0.00556100047336751,144900000,..,387790,..
Algeria,DZA,1988,YR1988,..,..,0.0220315973964792,126200000,1.74077245946988,388170,..
Algeria,DZA,1989,YR1989,..,..,0.021735256717637,116690000,1.53555395922568,387600,..
Algeria,DZA,1990,YR1990,..,..,0.00053979213990959,112230000,1.45735875532722,386760,..
Algeria,DZA,1991,YR1991,..,..,0.025459024380705,192680000,1.2361160798337,386220,34
Algeria,DZA,1992,YR1992,..,..,0.0624957057337205,252060000,2.19423769902237,388650,257
Algeria,DZA,1993,YR1993,2000000,..,..,187870000,2.55660378038205,388620,800
Algeria,DZA,1994,YR1994,1000000,..,..,285110000,3.13778074205861,396400,1916
Algeria,DZA,1995,YR1995,..,..,..,293710000,2.95624430046886,396490,3008
Algeria,DZA,1996,YR1996,..,..,0.575184045081196,288710000,3.09412450495031,396360,1084
Algeria,DZA,1997,YR1997,..,..,0.539666947634879,226570000,3.63736433431785,396900,1403
Algeria,DZA,1998,YR1998,..,..,1.25882621850339,393260000,3.96565963437773,398260,3029
Algeria,DZA,1999,YR1999,60000,..,0.599499039775579,97380000,3.75507988715379,397310,1016
Algeria,DZA,2000,YR2000,..,..,0.511224111413621,118230000,3.43339399957547,400210,931
Algeria,DZA,2001,YR2001,230000,..,2.03326578482878,161250000,3.82069266138159,401090,642
Algeria,DZA,2002,YR2002,5160000,..,1.87631181956434,173380000,3.70082665872287,398550,538
Algeria,DZA,2003,YR2003,3220000,..,0.939942885297036,225110000,3.25121021256678,399057,670
Algeria,DZA,2004,YR2004,3790000,..,1.03352053414103,306750000,3.2838862856514,411450,397
Algeria,DZA,2005,YR2005,1050000,..,1.12017426007909,323720000,2.83417670102573,412110,217
Algeria,DZA,2006,YR2006,760000,..,1.57313714379538,192810000,2.64380885382081,411810,255
Algeria,DZA,2007,YR2007,1690000,..,1.24964655834775,377540000,2.92332215218609,412520,472
Algeria,DZA,2008,YR2008,9110000,..,1.54303880341761,333030000,3.02474618229292,413090,339
Algeria,DZA,2009,YR2009,8080000,..,2.00197501321754,283240000,3.84851551289702,413800,505
Algeria,DZA,2010,YR2010,8620000,..,1.42696364791616,195040000,3.5180231996262,413740,236
American Samoa,ASM,1960,YR1960,..,..,..,..,..,..,..
American Samoa,ASM,1961,YR1961,..,..,..,..,..,30,..
American Samoa,ASM,1962,YR1962,..,..,..,..,..,30,..
American Samoa,ASM,1963,YR1963,..,..,..,..,..,30,..
American Samoa,ASM,1964,YR1964,..,..,..,..,..,30,..
American Samoa,ASM,1965,YR1965,..,..,..,..,..,30,..
American Samoa,ASM,1966,YR1966,..,..,..,..,..,30,..
American Samoa,ASM,1967,YR1967,..,..,..,..,..,30,..
American Samoa,ASM,1968,YR1968,..,..,..,..,..,30,..
American Samoa,ASM,1969,YR1969,..,..,..,..,..,30,..
American Samoa,ASM,1970,YR1970,..,..,..,..,..,30,..
American Samoa,ASM,1971,YR1971,..,..,..,..,..,30,..
American Samoa,ASM,1972,YR1972,..,..,..,..,..,30,..
American Samoa,ASM,1973,YR1973,..,..,..,..,..,30,..
American Samoa,ASM,1974,YR1974,..,..,..,..,..,30,..
American Samoa,ASM,1975,YR1975,..,..,..,..,..,30,..
American Samoa,ASM,1976,YR1976,..,..,..,..,..,30,..
American Samoa,ASM,1977,YR1977,..,..,..,..,..,30,..
American Samoa,ASM,1978,YR1978,..,..,..,..,..,30,..
American Samoa,ASM,1979,YR1979,..,..,..,..,..,30,..
American Samoa,ASM,1980,YR1980,..,..,..,..,..,30,..
American Samoa,ASM,1981,YR1981,..,..,..,..,..,30,..
American Samoa,ASM,1982,YR1982,..,..,..,..,..,30,..
American Samoa,ASM,1983,YR1983,..,..,..,..,..,30,..
American Samoa,ASM,1984,YR1984,..,..,..,..,..,30,..
American Samoa,ASM,1985,YR1985,..,..,..,..,..,30,..
American Samoa,ASM,1986,YR1986,..,..,..,..,..,30,..
American Samoa,ASM,1987,YR1987,..,..,..,..,..,30,..
American Samoa,ASM,1988,YR1988,..,..,..,..,..,30,..
American Samoa,ASM,1989,YR1989,..,..,..,..,..,30,..
American Samoa,ASM,1990,YR1990,..,..,..,..,..,30,..
American Samoa,ASM,1991,YR1991,..,..,..,..,..,30,..
American Samoa,ASM,1992,YR1992,..,..,..,..,..,32,..
American Samoa,ASM,1993,YR1993,..,..,..,..,..,32,..
American Samoa,ASM,1994,YR1994,..,..,..,..,..,32,..
American Samoa,ASM,1995,YR1995,..,..,..,..,..,35,..
American Samoa,ASM,1996,YR1996,..,..,..,..,..,40,..
American Samoa,ASM,1997,YR1997,..,..,..,..,..,40,..
American Samoa,ASM,1998,YR1998,..,..,..,..,..,47,..
American Samoa,ASM,1999,YR1999,..,..,..,..,..,47.9,..
American Samoa,ASM,2000,YR2000,..,..,..,..,..,48,..
American Samoa,ASM,2001,YR2001,..,..,..,..,..,45,..
American Samoa,ASM,2002,YR2002,..,..,..,..,..,45,..
American Samoa,ASM,2003,YR2003,..,..,..,..,..,50.4,..
American Samoa,ASM,2004,YR2004,..,..,..,..,..,50,..
American Samoa,ASM,2005,YR2005,..,..,..,..,..,50,..
American Samoa,ASM,2006,YR2006,..,..,..,..,..,50,..
American Samoa,ASM,2007,YR2007,..,..,..,..,..,48,..
American Samoa,ASM,2008,YR2008,..,..,..,..,..,48,..
American Samoa,ASM,2009,YR2009,..,..,..,..,..,49,..
American Samoa,ASM,2010,YR2010,..,..,..,..,..,49,..
Andorra,ADO,1960,YR1960,..,..,..,..,..,..,..
Andorra,ADO,1961,YR1961,..,..,..,..,..,260,..
Andorra,ADO,1962,YR1962,..,..,..,..,..,260,..
Andorra,ADO,1963,YR1963,..,..,..,..,..,260,..
Andorra,ADO,1964,YR1964,..,..,..,..,..,260,..
Andorra,ADO,1965,YR1965,..,..,..,..,..,260,..
Andorra,ADO,1966,YR1966,..,..,..,..,..,260,..
Andorra,ADO,1967,YR1967,..,..,..,..,..,260,..
Andorra,ADO,1968,YR1968,..,..,..,..,..,260,..
Andorra,ADO,1969,YR1969,..,..,..,..,..,260,..
Andorra,ADO,1970,YR1970,..,..,..,..,..,260,..
Andorra,ADO,1971,YR1971,..,..,..,..,..,250,..
Andorra,ADO,1972,YR1972,..,..,..,..,..,250,..
Andorra,ADO,1973,YR1973,..,..,..,..,..,240,..
Andorra,ADO,1974,YR1974,..,..,..,..,..,240,..
Andorra,ADO,1975,YR1975,..,..,..,..,..,240,..
Andorra,ADO,1976,YR1976,..,..,..,..,..,230,..
Andorra,ADO,1977,YR1977,..,..,..,..,..,230,..
Andorra,ADO,1978,YR1978,..,..,..,..,..,230,..
Andorra,ADO,1979,YR1979,..,..,..,..,..,220,..
Andorra,ADO,1980,YR1980,..,..,..,..,..,220,..
Andorra,ADO,1981,YR1981,..,..,..,..,..,210,..
Andorra,ADO,1982,YR1982,..,..,..,..,..,210,..
Andorra,ADO,1983,YR1983,..,..,..,..,..,210,..
Andorra,ADO,1984,YR1984,..,..,..,..,..,200,..
Andorra,ADO,1985,YR1985,..,..,..,..,..,200,..
Andorra,ADO,1986,YR1986,..,..,..,..,..,200,..
Andorra,ADO,1987,YR1987,..,..,..,..,..,190,..
Andorra,ADO,1988,YR1988,..,..,..,..,..,190,..
Andorra,ADO,1989,YR1989,..,..,..,..,..,190,..
Andorra,ADO,1990,YR1990,..,..,..,..,..,190,..
Andorra,ADO,1991,YR1991,..,..,..,..,..,190,..
Andorra,ADO,1992,YR1992,..,..,..,..,..,190,..
Andorra,ADO,1993,YR1993,..,..,..,..,..,190,..
Andorra,ADO,1994,YR1994,..,..,..,..,..,190,..
Andorra,ADO,1995,YR1995,..,..,..,..,..,190,..
Andorra,ADO,1996,YR1996,..,..,..,..,..,190,..
Andorra,ADO,1997,YR1997,..,..,..,..,..,190,..
Andorra,ADO,1998,YR1998,..,..,..,..,..,187,..
Andorra,ADO,1999,YR1999,..,..,..,..,..,188,..
Andorra,ADO,2000,YR2000,..,..,..,..,..,188,..
Andorra,ADO,2001,YR2001,..,..,..,..,..,187,..
Andorra,ADO,2002,YR2002,..,..,..,..,..,197,..
Andorra,ADO,2003,YR2003,..,..,..,..,..,199,..
Andorra,ADO,2004,YR2004,..,..,..,..,..,199,..
Andorra,ADO,2005,YR2005,..,..,..,..,..,197,..
Andorra,ADO,2006,YR2006,..,..,..,..,..,195,..
Andorra,ADO,2007,YR2007,..,..,..,..,..,194,..
Andorra,ADO,2008,YR2008,..,..,..,..,..,197,..
Andorra,ADO,2009,YR2009,..,..,..,..,..,199,..
Andorra,ADO,2010,YR2010,..,..,..,..,..,201,..
Angola,AGO,1960,YR1960,..,..,..,..,..,..,..
Angola,AGO,1961,YR1961,..,..,..,23470000,..,571700,..
Angola,AGO,1962,YR1962,..,..,..,..,..,572000,..
Angola,AGO,1963,YR1963,..,..,..,10000,..,572200,..
Angola,AGO,1964,YR1964,..,..,..,..,..,572500,..
Angola,AGO,1965,YR1965,..,..,..,1110000,..,572700,..
Angola,AGO,1966,YR1966,..,..,..,2860000,..,573000,..
Angola,AGO,1967,YR1967,..,..,..,18180000,..,573300,..
Angola,AGO,1968,YR1968,..,..,..,10000,..,573600,..
Angola,AGO,1969,YR1969,..,..,..,-110000,..,574000,..
Angola,AGO,1970,YR1970,..,..,..,-30000,..,574000,..
Angola,AGO,1971,YR1971,..,..,..,..,..,574000,..
Angola,AGO,1972,YR1972,..,..,..,90000,..,574000,..
Angola,AGO,1973,YR1973,..,..,..,160000,..,574000,..
Angola,AGO,1974,YR1974,..,..,..,270000,..,574000,..
Angola,AGO,1975,YR1975,..,..,..,4180000,..,574000,..
Angola,AGO,1976,YR1976,..,..,..,12260000,..,574000,..
Angola,AGO,1977,YR1977,..,..,..,9940000,..,574000,..
Angola,AGO,1978,YR1978,1000000,..,..,34480000,..,574000,..
Angola,AGO,1979,YR1979,2000000,..,..,30000000,..,574000,..
Angola,AGO,1980,YR1980,7000000,..,..,36760000,..,574000,..
Angola,AGO,1981,YR1981,5000000,..,..,42560000,..,574000,..
Angola,AGO,1982,YR1982,4000000,..,..,41650000,..,574000,..
Angola,AGO,1983,YR1983,2000000,..,..,48950000,..,574000,..
Angola,AGO,1984,YR1984,7000000,..,..,68310000,..,574000,..
Angola,AGO,1985,YR1985,7000000,..,4.1561,66790000,..,574000,..
Angola,AGO,1986,YR1986,7000000,..,3.4983,103640000,..,574000,..
Angola,AGO,1987,YR1987,6000000,..,1.77905,106700000,..,574000,..
Angola,AGO,1988,YR1988,6000000,..,1.95845,127450000,21.9805,574000,..
Angola,AGO,1989,YR1989,1000000,..,1.99333333333333,129870000,19.4323333333333,574000,2810
Angola,AGO,1990,YR1990,1000000,..,-3.33684,217140000,17.4636666666667,574040,2558
Angola,AGO,1991,YR1991,10000000,..,..,214560000,7.1025,574500,526
Angola,AGO,1992,YR1992,3000000,..,..,253840000,7.67923076923077,575000,2321
Angola,AGO,1993,YR1993,14000000,..,..,196010000,17.5472118959108,575000,12054
Angola,AGO,1994,YR1994,34000000,..,2.74588842308933,279440000,5.70959367945824,575000,3974
Angola,AGO,1995,YR1995,31000000,..,9.68229834577661,313290000,4.70739276826233,575000,162
Angola,AGO,1996,YR1996,25000000,..,2.39882907457034,388900000,2.44784815671705,575000,72
Angola,AGO,1997,YR1997,22000000,..,5.38137613919516,297330000,5.97225116095868,575000,50
Angola,AGO,1998,YR1998,28760000,..,17.2831044283748,279890000,2.64200770687947,575000,1075
Angola,AGO,1999,YR1999,48100000,..,40.1671622037156,304740000,17.334692213616,574000,2272
Angola,AGO,2000,YR2000,37310000,..,9.6238239763664,234520000,6.39260315427404,573000,943
Angola,AGO,2001,YR2001,33950000,..,24.0091170615715,240930000,4.52435381521459,573000,1123
Angola,AGO,2002,YR2002,105610000,..,13.9509933275001,348780000,3.51023506834408,573900,511
Angola,AGO,2003,YR2003,152910000,..,25.2095608487003,439780000,4.72213379180699,575900,..
Angola,AGO,2004,YR2004,121290000,..,11.1870309187182,1092380000,4.16241473796093,575900,37
Angola,AGO,2005,YR2005,67240000,..,-4.61801442059322,318520000,4.83484197372832,575900,..
Angola,AGO,2006,YR2006,32850000,..,-0.0902496542387305,96590000,4.71484492819948,575900,..
Angola,AGO,2007,YR2007,39630000,..,-1.47784630924483,169870000,3.36223184907008,576900,25
Angola,AGO,2008,YR2008,42680000,..,1.99454769353256,268000000,3.75821463787197,576900,..
Angola,AGO,2009,YR2009,41500000,..,2.92121938630291,180000000,4.38612881814425,582900,25
Angola,AGO,2010,YR2010,53530000,..,-3.9131507829016,175950000,4.24488429189766,583900,..
Antigua and Barbuda,ATG,1960,YR1960,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,1961,YR1961,..,..,..,..,..,100,..
Antigua and Barbuda,ATG,1962,YR1962,..,..,..,..,..,90,..
Antigua and Barbuda,ATG,1963,YR1963,..,..,..,..,..,100,..
Antigua and Barbuda,ATG,1964,YR1964,..,..,..,..,..,90,..
Antigua and Barbuda,ATG,1965,YR1965,..,..,..,..,..,110,..
Antigua and Barbuda,ATG,1966,YR1966,..,..,..,..,..,110,..
Antigua and Barbuda,ATG,1967,YR1967,..,..,..,..,..,100,..
Antigua and Barbuda,ATG,1968,YR1968,..,..,..,..,..,100,..
Antigua and Barbuda,ATG,1969,YR1969,..,..,..,..,..,110,..
Antigua and Barbuda,ATG,1970,YR1970,..,..,..,..,..,110,..
Antigua and Barbuda,ATG,1971,YR1971,..,..,..,..,..,110,..
Antigua and Barbuda,ATG,1972,YR1972,..,..,..,..,..,70,..
Antigua and Barbuda,ATG,1973,YR1973,..,..,..,..,..,70,..
Antigua and Barbuda,ATG,1974,YR1974,..,..,..,2690000,..,70,..
Antigua and Barbuda,ATG,1975,YR1975,..,..,..,1420000,..,70,..
Antigua and Barbuda,ATG,1976,YR1976,..,..,..,2630000,..,70,..
Antigua and Barbuda,ATG,1977,YR1977,..,..,3.3260540903746,4410000,..,70,..
Antigua and Barbuda,ATG,1978,YR1978,..,..,-9.21775270892088,2710000,..,70,..
Antigua and Barbuda,ATG,1979,YR1979,..,..,9.21501706484642,3080000,..,70,..
Antigua and Barbuda,ATG,1980,YR1980,..,..,17.8073894609328,2590000,..,70,..
Antigua and Barbuda,ATG,1981,YR1981,..,..,17.9973218271091,6660000,..,70,..
Antigua and Barbuda,ATG,1982,YR1982,..,..,16.6724836899616,2310000,..,70,..
Antigua and Barbuda,ATG,1983,YR1983,..,..,3.26220911968683,1410000,..,70,..
Antigua and Barbuda,ATG,1984,YR1984,..,..,2.53586065573771,1550000,..,80,..
Antigua and Barbuda,ATG,1985,YR1985,1000000,..,7.72801497165294,2070000,..,90,..
Antigua and Barbuda,ATG,1986,YR1986,3000000,..,9.1908663694421,4390000,..,90,..
Antigua and Barbuda,ATG,1987,YR1987,2000000,..,13.4728758338936,4820000,..,90,..
Antigua and Barbuda,ATG,1988,YR1988,1000000,..,9.72902633190445,7420000,..,90,..
Antigua and Barbuda,ATG,1989,YR1989,..,..,11.5444509467461,3820000,..,90,..
Antigua and Barbuda,ATG,1990,YR1990,..,..,15.4780371533427,3930000,..,90,..
Antigua and Barbuda,ATG,1991,YR1991,..,..,13.3513830603312,6670000,..,90,..
Antigua and Barbuda,ATG,1992,YR1992,..,..,4.63658928821143,4410000,..,90,..
Antigua and Barbuda,ATG,1993,YR1993,..,..,3.33833610513932,2900000,..,90,..
Antigua and Barbuda,ATG,1994,YR1994,..,..,4.95689655172412,3810000,..,90,..
Antigua and Barbuda,ATG,1995,YR1995,..,..,6.3711309300757,1410000,..,90,..
Antigua and Barbuda,ATG,1996,YR1996,..,..,3.57656239304537,2070000,..,90,..
Antigua and Barbuda,ATG,1997,YR1997,..,..,3.95694941236586,2380000,..,90,..
Antigua and Barbuda,ATG,1998,YR1998,230000,..,3.67301833821158,7210000,..,90,..
Antigua and Barbuda,ATG,1999,YR1999,410000,..,7.94544545454545,8950000,..,90,..
Antigua and Barbuda,ATG,2000,YR2000,-50000,..,5.50061799440568,4120000,..,90,..
Antigua and Barbuda,ATG,2001,YR2001,310000,..,12.7237854722889,6890000,..,90,..
Antigua and Barbuda,ATG,2002,YR2002,-60000,..,8.20718471949704,13780000,..,90,..
Antigua and Barbuda,ATG,2003,YR2003,-170000,..,19.8002217117164,3600000,..,90,..
Antigua and Barbuda,ATG,2004,YR2004,-180000,..,8.94596039119353,1720000,..,90,..
Antigua and Barbuda,ATG,2005,YR2005,-170000,..,22.1545126961349,7330000,..,90,..
